,Date,Sales_Amount,Units_Sold,Product_Category,Product_Name,Revenue,Customer_Rating,Sales_Channel,,,,,,,
148,27/05/2005,"£10,199.00",88,Computers,Laptop,"£3,675.00",3,Online,,,,,,,
151,30/05/2005,"£18,502.00",50,Electronics,Tablet,"£3,678.00",3,In-Store,,,,,,,
152,31/05/2005,"£11,400.00",48,Computers,Laptop,"£3,679.00",5,Online,,,,,,,
155,06/03/2005,"£12,843.00",44,Electronics,Tablet,"£3,682.00",4,In-Store,,,,,,,
157,06/05/2005,"£8,354.00",39,Electronics,Tablet,"£3,684.00",1,Online,,,,,,,
159,06/07/2005,"£12,668.00",99,Computers,Laptop,"£3,686.00",3,Online,,,,,,,
160,06/08/2005,"£1,900.00",23,Electronics,Tablet,"£3,687.00",3,Online,,,,,,,
161,06/09/2005,"£2,208.00",21,Mobile Phones,Smartphone,"£3,688.00",2,In-Store,,,,,,,
162,06/10/2005,"£12,165.00",81,Computers,Laptop,"£3,689.00",3,In-Store,,,,,,,
164,06/12/2005,"£19,537.00",28,Mobile Phones,Smartphone,"£3,691.00",5,In-Store,,,,,,,
165,13/06/2005,"£19,612.00",23,Computers,Laptop,"£3,692.00",1,In-Store,,,,,,,
167,15/06/2005,"£6,526.00",24,Mobile Phones,Smartphone,"£3,694.00",3,Online,,,,,,,
168,16/06/2005,"£16,912.00",57,Electronics,Headphones,"£3,695.00",3,In-Store,,,,,,,
173,21/06/2005,"£4,478.00",8,Electronics,Headphones,"£3,700.00",3,Online,,,,,,,
174,22/06/2005,"£1,805.00",2,Computers,Laptop,"£3,701.00",3,Online,,,,,,,
176,24/06/2005,"£14,889.00",50,Electronics,Headphones,"£3,703.00",3,In-Store,,,,,,,
178,26/06/2005,"£12,753.00",99,Electronics,Tablet,"£3,705.00",3,In-Store,,,,,,,
179,27/06/2005,"£2,987.00",10,Mobile Phones,Smartphone,"£3,706.00",1,Online,,,,,,,
180,28/06/2005,"£8,948.00",18,Computers,Laptop,"£3,707.00",1,In-Store,,,,,,,
183,07/01/2005,"£12,888.00",65,Electronics,Headphones,"£3,710.00",3,Online,,,,,,,
185,07/03/2005,"£14,039.00",14,Electronics,Headphones,"£3,712.00",5,In-Store,,,,,,,
187,07/05/2005,"£19,920.00",33,Mobile Phones,Smartphone,"£3,714.00",4,Online,,,,,,,
189,07/07/2005,"£5,098.00",27,Computers,Laptop,"£3,716.00",4,In-Store,,,,,,,
192,07/10/2005,"£13,335.00",45,Mobile Phones,Smartphone,"£3,719.00",4,Online,,,,,,,
198,16/07/2005,"£16,327.00",91,Electronics,Tablet,"£3,725.00",1,Online,,,,,,,
201,19/07/2005,"£11,371.00",89,Mobile Phones,Smartphone,"£3,728.00",4,In-Store,,,,,,,
202,20/07/2005,"£17,030.00",72,Electronics,Tablet,"£3,729.00",3,In-Store,,,,,,,
203,21/07/2005,"£10,279.00",33,Mobile Phones,Smartphone,"£3,730.00",1,Online,,,,,,,
205,23/07/2005,"£18,181.00",34,Electronics,Tablet,"£3,732.00",3,Online,,,,,,,
210,28/07/2005,"£12,507.00",64,Electronics,Headphones,"£3,737.00",4,In-Store,,,,,,,
212,30/07/2005,"£17,335.00",52,Mobile Phones,Smartphone,"£3,739.00",3,In-Store,,,,,,,
224,08/11/2005,"£3,311.00",39,Electronics,Headphones,"£3,751.00",3,Online,,,,,,,
225,08/12/2005,"£11,427.00",87,Computers,Laptop,"£3,752.00",3,In-Store,,,,,,,
227,14/08/2005,"£13,323.00",46,Mobile Phones,Smartphone,"£3,754.00",4,In-Store,,,,,,,
229,16/08/2005,"£10,307.00",85,Electronics,Headphones,"£3,756.00",2,Online,,,,,,,
231,18/08/2005,"£16,215.00",26,Electronics,Tablet,"£3,758.00",3,Online,,,,,,,
232,19/08/2005,"£18,702.00",37,Computers,Laptop,"£3,759.00",4,In-Store,,,,,,,
239,26/08/2005,"£15,682.00",69,Mobile Phones,Smartphone,"£3,766.00",3,In-Store,,,,,,,
244,31/08/2005,"£13,873.00",13,Electronics,Tablet,"£3,771.00",4,Online,,,,,,,
248,09/04/2005,"£14,818.00",95,Electronics,Headphones,"£3,775.00",2,Online,,,,,,,
250,09/06/2005,"£12,859.00",77,Computers,Laptop,"£3,777.00",3,Online,,,,,,,
252,09/08/2005,"£15,229.00",20,Mobile Phones,Smartphone,"£3,779.00",3,In-Store,,,,,,,
258,14/09/2005,"£18,898.00",64,Electronics,Headphones,"£3,785.00",3,In-Store,,,,,,,
260,16/09/2005,"£16,244.00",96,Electronics,Tablet,"£3,787.00",1,Online,,,,,,,
263,19/09/2005,"£13,309.00",91,Mobile Phones,Smartphone,"£3,790.00",5,In-Store,,,,,,,
265,21/09/2005,"£11,292.00",13,Computers,Laptop,"£3,792.00",3,Online,,,,,,,
266,22/09/2005,"£5,426.00",39,Computers,Laptop,"£3,793.00",4,Online,,,,,,,
269,25/09/2005,"£19,508.00",46,Electronics,Headphones,"£3,796.00",3,Online,,,,,,,
270,26/09/2005,"£11,042.00",79,Mobile Phones,Smartphone,"£3,797.00",3,In-Store,,,,,,,
272,28/09/2005,"£11,989.00",25,Computers,Laptop,"£3,799.00",5,In-Store,,,,,,,
275,10/01/2005,"£8,798.00",39,Electronics,Tablet,"£3,802.00",3,Online,,,,,,,
279,10/05/2005,"£4,152.00",29,Mobile Phones,Smartphone,"£3,806.00",2,In-Store,,,,,,,
280,10/06/2005,"£15,732.00",18,Mobile Phones,Smartphone,"£3,807.00",4,Online,,,,,,,
282,10/08/2005,"£13,509.00",36,Computers,Laptop,"£3,809.00",3,In-Store,,,,,,,
283,10/09/2005,"£17,565.00",64,Electronics,Tablet,"£3,810.00",3,Online,,,,,,,
286,10/12/2005,"£13,182.00",79,Electronics,Headphones,"£3,813.00",2,In-Store,,,,,,,
289,15/10/2005,"£13,625.00",24,Computers,Laptop,"£3,816.00",1,Online,,,,,,,
291,17/10/2005,"£16,990.00",84,Electronics,Headphones,"£3,818.00",2,Online,,,,,,,
297,23/10/2005,"£15,881.00",71,Computers,Laptop,"£3,824.00",3,In-Store,,,,,,,
299,25/10/2005,"£18,301.00",36,Computers,Laptop,"£3,826.00",3,Online,,,,,,,
302,28/10/2005,"£19,176.00",98,Electronics,Tablet,"£3,829.00",3,In-Store,,,,,,,
303,29/10/2005,"£11,911.00",46,Mobile Phones,Smartphone,"£3,830.00",1,In-Store,,,,,,,
306,11/01/2005,"£8,203.00",22,Computers,Laptop,"£3,833.00",4,In-Store,,,,,,,
309,11/04/2005,"£9,947.00",20,Electronics,Headphones,"£3,836.00",2,Online,,,,,,,
310,11/05/2005,"£10,971.00",81,Electronics,Tablet,"£3,837.00",2,In-Store,,,,,,,
314,11/09/2005,"£15,357.00",29,Electronics,Tablet,"£3,841.00",1,In-Store,,,,,,,
315,11/10/2005,"£4,338.00",1,Electronics,Tablet,"£3,842.00",3,In-Store,,,,,,,
318,13/11/2005,"£2,439.00",29,Mobile Phones,Smartphone,"£3,845.00",3,In-Store,,,,,,,
319,14/11/2005,"£1,111.00",5,Electronics,Tablet,"£3,846.00",4,Online,,,,,,,
323,18/11/2005,"£12,637.00",91,Mobile Phones,Smartphone,"£3,850.00",1,In-Store,,,,,,,
326,21/11/2005,"£17,552.00",63,Electronics,Tablet,"£3,853.00",2,Online,,,,,,,
331,26/11/2005,"£12,002.00",44,Electronics,Tablet,"£3,858.00",1,In-Store,,,,,,,
332,27/11/2005,"£18,831.00",93,Electronics,Tablet,"£3,859.00",5,Online,,,,,,,
334,29/11/2005,"£2,791.00",18,Electronics,Tablet,"£3,861.00",2,Online,,,,,,,
335,30/11/2005,"£12,098.00",12,Electronics,Headphones,"£3,862.00",5,In-Store,,,,,,,
338,12/03/2005,"£14,894.00",75,Computers,Laptop,"£3,865.00",3,In-Store,,,,,,,
339,12/04/2005,"£10,814.00",66,Computers,Laptop,"£3,866.00",2,Online,,,,,,,
341,12/06/2005,"£15,708.00",99,Electronics,Tablet,"£3,868.00",1,Online,,,,,,,
343,12/08/2005,"£5,711.00",11,Electronics,Tablet,"£3,870.00",1,In-Store,,,,,,,
347,12/12/2005,"£9,896.00",14,Mobile Phones,Smartphone,"£3,874.00",3,Online,,,,,,,
353,18/12/2005,"£10,225.00",77,Electronics,Tablet,"£3,880.00",3,Online,,,,,,,
355,20/12/2005,"£11,267.00",80,Mobile Phones,Smartphone,"£3,882.00",3,In-Store,,,,,,,
357,22/12/2005,"£12,536.00",64,Mobile Phones,Smartphone,"£3,884.00",5,Online,,,,,,,
360,25/12/2005,"£10,626.00",44,Computers,Laptop,"£3,887.00",1,Online,,,,,,,
361,26/12/2005,"£2,326.00",13,Electronics,Tablet,"£3,888.00",3,In-Store,,,,,,,
364,29/12/2005,"£13,248.00",41,Mobile Phones,Smartphone,"£3,891.00",2,In-Store,,,,,,,
365,30/12/2005,"£9,744.00",23,Electronics,Headphones,"£3,892.00",3,In-Store,,,,,,,
369,01/03/2006,"£14,326.00",27,Electronics,Tablet,"£3,896.00",2,Online,,,,,,,
370,01/04/2006,"£12,525.00",59,Computers,Laptop,"£3,897.00",1,Online,,,,,,,
373,01/07/2006,"£17,606.00",44,Electronics,Tablet,"£3,900.00",3,Online,,,,,,,
377,01/11/2006,"£12,610.00",32,Electronics,Headphones,"£3,904.00",5,Online,,,,,,,
378,01/12/2006,"£10,008.00",24,Electronics,Headphones,"£3,905.00",1,Online,,,,,,,
384,18/01/2006,"£18,377.00",18,Mobile Phones,Smartphone,"£3,911.00",2,Online,,,,,,,
390,24/01/2006,"£12,721.00",23,Electronics,Headphones,"£3,917.00",5,In-Store,,,,,,,
391,25/01/2006,"£16,682.00",34,Electronics,Tablet,"£3,918.00",3,Online,,,,,,,
392,26/01/2006,"£15,488.00",41,Mobile Phones,Smartphone,"£3,919.00",5,Online,,,,,,,
394,28/01/2006,"£15,266.00",16,Electronics,Tablet,"£3,921.00",3,Online,,,,,,,
395,29/01/2006,"£12,531.00",76,Mobile Phones,Smartphone,"£3,922.00",4,In-Store,,,,,,,
398,02/01/2006,"£18,955.00",96,Electronics,Headphones,"£3,925.00",2,Online,,,,,,,
399,02/02/2006,"£14,403.00",21,Electronics,Headphones,"£3,926.00",1,Online,,,,,,,
402,02/05/2006,"£10,892.00",41,Electronics,Headphones,"£3,929.00",3,In-Store,,,,,,,
405,02/08/2006,"£12,418.00",41,Electronics,Tablet,"£3,932.00",3,Online,,,,,,,
408,02/11/2006,"£16,559.00",18,Electronics,Headphones,"£3,935.00",1,In-Store,,,,,,,
411,14/02/2006,"£8,601.00",22,Mobile Phones,Smartphone,"£3,938.00",4,In-Store,,,,,,,
412,15/02/2006,"£19,030.00",15,Electronics,Headphones,"£3,939.00",2,Online,,,,,,,
414,17/02/2006,"£2,466.00",33,Computers,Laptop,"£3,941.00",1,Online,,,,,,,
416,19/02/2006,"£17,888.00",55,Electronics,Tablet,"£3,943.00",3,In-Store,,,,,,,
418,21/02/2006,"£17,415.00",20,Computers,Laptop,"£3,945.00",1,In-Store,,,,,,,
424,27/02/2006,"£18,627.00",52,Mobile Phones,Smartphone,"£3,951.00",3,In-Store,,,,,,,
427,03/02/2006,"£19,574.00",89,Electronics,Headphones,"£3,954.00",2,Online,,,,,,,
433,03/08/2006,"£14,229.00",88,Computers,Laptop,"£3,960.00",5,Online,,,,,,,
435,03/10/2006,"£12,468.00",33,Computers,Laptop,"£3,962.00",3,In-Store,,,,,,,
438,13/03/2006,"£12,176.00",69,Computers,Laptop,"£3,965.00",4,Online,,,,,,,
440,15/03/2006,"£13,484.00",22,Computers,Laptop,"£3,967.00",1,Online,,,,,,,
443,18/03/2006,"£18,947.00",20,Mobile Phones,Smartphone,"£3,970.00",3,Online,,,,,,,
444,19/03/2006,"£5,233.00",21,Electronics,Headphones,"£3,971.00",3,In-Store,,,,,,,
445,20/03/2006,"£12,208.00",76,Electronics,Headphones,"£3,972.00",1,In-Store,,,,,,,
451,26/03/2006,"£18,695.00",11,Computers,Laptop,"£3,978.00",3,In-Store,,,,,,,
454,29/03/2006,"£1,294.00",19,Electronics,Headphones,"£3,981.00",2,In-Store,,,,,,,
456,31/03/2006,"£10,324.00",71,Electronics,Tablet,"£3,983.00",1,In-Store,,,,,,,
461,04/05/2006,"£19,049.00",90,Mobile Phones,Smartphone,"£3,988.00",1,In-Store,,,,,,,
462,04/06/2006,"£10,834.00",83,Mobile Phones,Smartphone,"£3,989.00",3,Online,,,,,,,
464,04/08/2006,"£10,171.00",89,Electronics,Tablet,"£3,991.00",3,In-Store,,,,,,,
466,04/10/2006,"£15,694.00",43,Electronics,Headphones,"£3,993.00",4,In-Store,,,,,,,
468,04/12/2006,"£7,357.00",28,Electronics,Tablet,"£3,995.00",3,In-Store,,,,,,,
472,16/04/2006,"£2,716.00",21,Computers,Laptop,"£3,999.00",1,In-Store,,,,,,,
473,17/04/2006,"£12,568.00",74,Computers,Laptop,"£4,000.00",3,Online,,,,,,,
474,18/04/2006,"£18,730.00",19,Mobile Phones,Smartphone,"£4,001.00",5,Online,,,,,,,
475,19/04/2006,"£7,068.00",39,Electronics,Headphones,"£4,002.00",2,Online,,,,,,,
478,22/04/2006,"£17,894.00",91,Electronics,Headphones,"£4,005.00",3,In-Store,,,,,,,
480,24/04/2006,"£4,712.00",21,Electronics,Tablet,"£4,007.00",5,Online,,,,,,,
481,25/04/2006,"£18,155.00",76,Electronics,Tablet,"£4,008.00",5,Online,,,,,,,
488,05/02/2006,"£8,348.00",3,Mobile Phones,Smartphone,"£4,015.00",3,In-Store,,,,,,,
492,05/06/2006,"£11,903.00",50,Electronics,Headphones,"£4,019.00",4,Online,,,,,,,
496,05/10/2006,"£19,240.00",44,Electronics,Tablet,"£4,023.00",1,Online,,,,,,,
497,05/11/2006,"£12,402.00",66,Electronics,Tablet,"£4,024.00",1,In-Store,,,,,,,
499,13/05/2006,"£14,595.00",70,Electronics,Headphones,"£4,026.00",1,Online,,,,,,,
500,14/05/2006,"£16,232.00",76,Electronics,Headphones,"£4,027.00",3,Online,,,,,,,
501,15/05/2006,"£6,434.00",32,Mobile Phones,Smartphone,"£4,028.00",3,In-Store,,,,,,,
505,19/05/2006,"£12,232.00",87,Mobile Phones,Smartphone,"£4,032.00",1,In-Store,,,,,,,
507,21/05/2006,"£7,824.00",20,Electronics,Tablet,"£4,034.00",3,Online,,,,,,,
508,22/05/2006,"£9,254.00",19,Electronics,Tablet,"£4,035.00",5,Online,,,,,,,
510,24/05/2006,"£16,686.00",32,Electronics,Headphones,"£4,037.00",3,In-Store,,,,,,,
513,27/05/2006,"£12,992.00",14,Computers,Laptop,"£4,040.00",3,In-Store,,,,,,,
514,28/05/2006,"£10,776.00",52,Electronics,Headphones,"£4,041.00",3,Online,,,,,,,
515,29/05/2006,"£17,847.00",97,Electronics,Tablet,"£4,042.00",5,In-Store,,,,,,,
516,30/05/2006,"£17,077.00",77,Computers,Laptop,"£4,043.00",3,Online,,,,,,,
521,06/04/2006,"£11,638.00",51,Electronics,Headphones,"£4,048.00",1,Online,,,,,,,
522,06/05/2006,"£12,275.00",23,Mobile Phones,Smartphone,"£4,049.00",3,In-Store,,,,,,,
523,06/06/2006,"£10,012.00",55,Electronics,Headphones,"£4,050.00",1,Online,,,,,,,
524,06/07/2006,"£12,821.00",31,Electronics,Tablet,"£4,051.00",1,In-Store,,,,,,,
525,06/08/2006,"£14,052.00",66,Computers,Laptop,"£4,052.00",4,Online,,,,,,,
527,06/10/2006,"£8,250.00",27,Electronics,Tablet,"£4,054.00",1,Online,,,,,,,
531,14/06/2006,"£19,340.00",93,Computers,Laptop,"£4,058.00",2,In-Store,,,,,,,
532,15/06/2006,"£12,212.00",73,Mobile Phones,Smartphone,"£4,059.00",1,Online,,,,,,,
534,17/06/2006,"£13,305.00",69,Electronics,Headphones,"£4,061.00",1,In-Store,,,,,,,
538,21/06/2006,"£14,169.00",66,Computers,Laptop,"£4,065.00",1,In-Store,,,,,,,
539,22/06/2006,"£8,760.00",20,Electronics,Tablet,"£4,066.00",5,Online,,,,,,,
541,24/06/2006,"£16,484.00",92,Electronics,Tablet,"£4,068.00",3,Online,,,,,,,
543,26/06/2006,"£7,344.00",39,Electronics,Tablet,"£4,070.00",5,Online,,,,,,,
544,27/06/2006,"£10,114.00",46,Electronics,Tablet,"£4,071.00",1,In-Store,,,,,,,
546,29/06/2006,"£14,367.00",74,Electronics,Headphones,"£4,073.00",1,In-Store,,,,,,,
549,07/02/2006,"£9,220.00",28,Electronics,Headphones,"£4,076.00",5,In-Store,,,,,,,
561,14/07/2006,"£2,397.00",4,Electronics,Tablet,"£4,088.00",4,Online,,,,,,,
562,15/07/2006,"£16,341.00",29,Electronics,Headphones,"£4,089.00",4,Online,,,,,,,
564,17/07/2006,"£2,401.00",11,Mobile Phones,Smartphone,"£4,091.00",4,In-Store,,,,,,,
565,18/07/2006,"£13,980.00",71,Mobile Phones,Smartphone,"£4,092.00",5,Online,,,,,,,
569,22/07/2006,"£19,536.00",22,Electronics,Headphones,"£4,096.00",3,Online,,,,,,,
572,25/07/2006,"£13,951.00",95,Computers,Laptop,"£4,099.00",3,Online,,,,,,,
574,27/07/2006,"£11,418.00",11,Electronics,Headphones,"£4,101.00",2,In-Store,,,,,,,
575,28/07/2006,"£15,029.00",22,Electronics,Headphones,"£4,102.00",5,Online,,,,,,,
576,29/07/2006,"£16,076.00",63,Electronics,Tablet,"£4,103.00",1,Online,,,,,,,
577,30/07/2006,"£6,715.00",20,Electronics,Headphones,"£4,104.00",2,In-Store,,,,,,,
579,08/01/2006,"£17,688.00",65,Mobile Phones,Smartphone,"£4,106.00",2,In-Store,,,,,,,
582,08/04/2006,"£16,876.00",28,Electronics,Tablet,"£4,109.00",4,In-Store,,,,,,,
589,08/11/2006,"£14,222.00",42,Mobile Phones,Smartphone,"£4,116.00",1,In-Store,,,,,,,
590,08/12/2006,"£3,791.00",21,Computers,Laptop,"£4,117.00",5,In-Store,,,,,,,
592,14/08/2006,"£16,920.00",27,Computers,Laptop,"£4,119.00",3,Online,,,,,,,
593,15/08/2006,"£19,888.00",79,Mobile Phones,Smartphone,"£4,120.00",4,Online,,,,,,,
594,16/08/2006,"£11,701.00",21,Electronics,Tablet,"£4,121.00",5,In-Store,,,,,,,
595,17/08/2006,"£17,037.00",74,Computers,Laptop,"£4,122.00",2,In-Store,,,,,,,
598,20/08/2006,"£8,434.00",33,Electronics,Tablet,"£4,125.00",3,Online,,,,,,,
600,22/08/2006,"£11,723.00",78,Electronics,Headphones,"£4,127.00",3,Online,,,,,,,
601,23/08/2006,"£14,897.00",42,Mobile Phones,Smartphone,"£4,128.00",3,In-Store,,,,,,,
605,27/08/2006,£933.00,14,Computers,Laptop,"£4,132.00",1,Online,,,,,,,
614,09/05/2006,"£15,860.00",89,Electronics,Headphones,"£4,141.00",1,Online,,,,,,,
617,09/08/2006,"£6,691.00",39,Computers,Laptop,"£4,144.00",5,Online,,,,,,,
618,09/09/2006,"£11,068.00",52,Electronics,Tablet,"£4,145.00",4,Online,,,,,,,
620,09/11/2006,"£3,380.00",2,Mobile Phones,Smartphone,"£4,147.00",4,Online,,,,,,,
625,16/09/2006,"£19,872.00",36,Electronics,Tablet,"£4,152.00",5,In-Store,,,,,,,
627,18/09/2006,"£11,084.00",22,Electronics,Headphones,"£4,154.00",3,In-Store,,,,,,,
629,20/09/2006,"£18,983.00",13,Mobile Phones,Smartphone,"£4,156.00",3,Online,,,,,,,
633,24/09/2006,"£19,191.00",97,Electronics,Headphones,"£4,160.00",3,In-Store,,,,,,,
634,25/09/2006,"£13,087.00",24,Mobile Phones,Smartphone,"£4,161.00",2,Online,,,,,,,
638,29/09/2006,"£2,693.00",20,Computers,Laptop,"£4,165.00",5,In-Store,,,,,,,
642,10/03/2006,"£14,524.00",60,Mobile Phones,Smartphone,"£4,169.00",1,In-Store,,,,,,,
648,10/09/2006,"£2,138.00",3,Computers,Laptop,"£4,175.00",3,In-Store,,,,,,,
649,10/10/2006,"£9,981.00",23,Electronics,Headphones,"£4,176.00",2,In-Store,,,,,,,
650,10/11/2006,"£12,329.00",94,Computers,Laptop,"£4,177.00",4,Online,,,,,,,
651,10/12/2006,"£13,773.00",46,Computers,Laptop,"£4,178.00",3,In-Store,,,,,,,
652,13/10/2006,"£10,078.00",23,Electronics,Tablet,"£4,179.00",3,In-Store,,,,,,,
653,14/10/2006,"£11,500.00",25,Electronics,Headphones,"£4,180.00",3,Online,,,,,,,
658,19/10/2006,"£13,981.00",22,Computers,Laptop,"£4,185.00",4,Online,,,,,,,
660,21/10/2006,"£16,962.00",78,Electronics,Tablet,"£4,187.00",4,Online,,,,,,,
661,22/10/2006,"£10,492.00",44,Electronics,Headphones,"£4,188.00",3,Online,,,,,,,
663,24/10/2006,"£6,556.00",21,Mobile Phones,Smartphone,"£4,190.00",3,In-Store,,,,,,,
664,25/10/2006,"£16,878.00",50,Electronics,Headphones,"£4,191.00",1,Online,,,,,,,
665,26/10/2006,"£15,887.00",50,Electronics,Tablet,"£4,192.00",2,In-Store,,,,,,,
666,27/10/2006,"£11,509.00",45,Electronics,Headphones,"£4,193.00",2,In-Store,,,,,,,
669,30/10/2006,"£11,472.00",65,Electronics,Tablet,"£4,196.00",2,Online,,,,,,,
670,31/10/2006,"£1,810.00",11,Electronics,Headphones,"£4,197.00",5,Online,,,,,,,
671,11/01/2006,£873.00,12,Electronics,Headphones,"£4,198.00",3,Online,,,,,,,
675,11/05/2006,"£10,477.00",14,Electronics,Tablet,"£4,202.00",3,Online,,,,,,,
676,11/06/2006,"£17,292.00",97,Mobile Phones,Smartphone,"£4,203.00",3,In-Store,,,,,,,
680,11/10/2006,"£6,616.00",23,Computers,Laptop,"£4,207.00",5,Online,,,,,,,
686,16/11/2006,"£2,824.00",15,Mobile Phones,Smartphone,"£4,213.00",4,In-Store,,,,,,,
